Date,Close/Last,Volume,Open,High,Low
03/15/2024,$416.42,45079900,$419.29,$422.60,$412.79
03/14/2024,$425.22,34157300,$420.24,$427.82,$417.99
03/13/2024,$415.10,17115930,$418.10,$418.18,$411.45
03/12/2024,$415.28,22457000,$407.62,$415.57,$406.79
03/11/2024,$404.52,16120750,$403.762,$405.68,$401.26
03/08/2024,$406.22,18002190,$407.96,$410.42,$404.33
03/07/2024,$409.14,18718480,$406.12,$409.78,$402.24
03/06/2024,$402.09,22344150,$402.97,$405.16,$398.39
03/05/2024,$402.65,26919180,$413.96,$414.25,$400.64
03/04/2024,$414.92,17595960,$413.44,$417.35,$412.32
03/01/2024,$415.50,17823450,$411.27,$415.87,$410.88
02/29/2024,$413.64,31947260,$408.64,$414.20,$405.92
02/28/2024,$407.72,13183130,$408.175,$409.30,$405.3201
02/27/2024,$407.48,14835830,$407.99,$408.32,$403.85
02/26/2024,$407.54,16193510,$411.455,$412.16,$407.36
02/23/2024,$410.34,16295880,$415.67,$415.86,$408.97
02/22/2024,$411.65,27009870,$410.19,$412.83,$408.57
02/21/2024,$402.18,18631070,$400.17,$402.29,$397.22
02/20/2024,$402.79,24307920,$403.24,$404.49,$398.01
